source_ID,source_content,target_ID,target_content,label
CCHIT0537,The system shall track amendments for corrections made to the appropriate patient's document.,AUD,"Audit Controls. Implement hardware, software, and/or procedural mechanisms that record and examine activity in information systems that contain or use electronic protected health information.",0
CCHIT0656,"Provide assurance that security policies are being followed or enforced and that risks are being mitigated. Define and identify security relevant events and the data to be collected and communicated as determined by policy, regulation, or risk analysis. It also provides the mechanism to determine the record format to support analytical reports that are needed.",PA,Person or entity authentication. Implement procedures to verify that a person or entity seeking access to electronic protected health information is the one claimed.,0
CCHIT0763,The system shall provide the ability for the clinician to acknowledge medication orders prior to administration including date and time.,PA,Person or entity authentication. Implement procedures to verify that a person or entity seeking access to electronic protected health information is the one claimed.,0
CCHIT0621,The HIE shall implement measures to prevent phishing and pharming,PA,Person or entity authentication. Implement procedures to verify that a person or entity seeking access to electronic protected health information is the one claimed.,0
CCHIT1009,The system shall provide the ability to uniquely identify clinicians for the provision of care.,IC,Integrity controls. Implement security measures to ensure that electronically transmitted electronic protected health information is not improperly modified without detection until disposed of.,0
CCHIT0160,The system shall provide the ability to generate hardcopy or electronic output of part or all of the individual patient's medical record.,TS,Transmission security. Implement technical security measures to guard against unauthorized access to electronic protected health information that is being transmitted over an electronic communications network.,0
CCHIT0766,The system shall provide the ability for the electronic medication administration record to be printed.,TED,Encryption and decryption. Implement a mechanism to encrypt and decrypt electronic protected health information.,0
CCHIT0813,"The system shall provide the ability to capture and maintain, as discrete data, the reason for variation from rule-based clinical messages (for example alerts and reminders).",TS,Transmission security. Implement technical security measures to guard against unauthorized access to electronic protected health information that is being transmitted over an electronic communications network.,0
CCHIT0824,"The system shall provide the ability to capture, maintain and display, as discrete data elements, historical problems associated with a patient.",SED,Encryption. Implement a mechanism to encrypt electronic protected health information whenever deemed appropriate.,0
CCHIT0700,"The system shall demonstrate the ability to generate and embed a transaction ID tracking number to patient chart outputs or exports, unique for each instance when a patient chart output/document is printed, electronically communicated, or otherwise exported",EAP,Emergency access procedure. Establish (and implement as needed) procedures for obtaining necessary electronic protected health information during an emergency.,0
CCHIT0438,The system shall provide the ability for members of the medical team to manage and view patients in their assigned care.,TED,Encryption and decryption. Implement a mechanism to encrypt and decrypt electronic protected health information.,0
CCHIT0277,"The system shall provide the ability to send, store, and receive coded medication information",PA,Person or entity authentication. Implement procedures to verify that a person or entity seeking access to electronic protected health information is the one claimed.,0
CCHIT0622,The HIE shall implement measures to prevent rogue network access,IC,Integrity controls. Implement security measures to ensure that electronically transmitted electronic protected health information is not improperly modified without detection until disposed of.,0
CCHIT0157,"The system shall provide the ability to generate and format CCD documents with narrative sections and structured entries (discrete fields) as specified by the HITSP IS03/C32 specification of the Registration Information module subset.  For 2008, the values within the structured entries do not have to use industry standard vocabularies/terminologies (such as RxNorm or SNOMED-CT)",UUI,Unique user identification. Assign a unique name and/or number for identifying and tracking user identity.,0
CCHIT0528,"The system shall support integration with hospital systems to facilitate patient registration in the ED care process. The following information, at a minimum, should be retrievable from hospital information systems: patient name, date of birth and gender.",AC,Access Control. Implement technical policies and procedures for electronic information systems that maintain electronic protected health information to allow access only to those persons or software programs that have been granted access rights as specified in ? 164.308(a)(4).,0
CCHIT1031,The system shall provide the ability to view the rationale for a drug interaction alert.,TS,Transmission security. Implement technical security measures to guard against unauthorized access to electronic protected health information that is being transmitted over an electronic communications network.,0
CCHIT0099,The system shall provide the ability to create patient specific instructions.,TS,Transmission security. Implement technical security measures to guard against unauthorized access to electronic protected health information that is being transmitted over an electronic communications network.,0
CCHIT0068,"The system shall provide the ability to capture and display temperature, weight and height in both metric and English units",AL,Automatic logoff. Implement electronic procedures that terminate an electronic session after a predetermined time of inactivity.,0
CCHIT0810,"The system shall provide the ability to capture and maintain, as discrete data elements, the specific problem / diagnosis, user, date and time of all updates to the problem list.",TS,Transmission security. Implement technical security measures to guard against unauthorized access to electronic protected health information that is being transmitted over an electronic communications network.,0
CCHIT0575,The HIE shall be able to register patient preferences to participate or not participate in the HIE for uses other than  direct delivery of information in fulfillment of an order.   This criteria is not intended to prohibit HIEs from meeting any legal or regulatory requirements that an HIE may be subject to.    An HIE can meet this criteria by implementing these preferences centrally or by ensuring that the Edge systems implement these preferences.,AC,Access Control. Implement technical policies and procedures for electronic information systems that maintain electronic protected health information to allow access only to those persons or software programs that have been granted access rights as specified in ? 164.308(a)(4).,0
CCHIT0284,The system shall provide the ability to store and display administrative documents (e.g. privacy notices).,AUD,"Audit Controls. Implement hardware, software, and/or procedural mechanisms that record and examine activity in information systems that contain or use electronic protected health information.",0
CCHIT0664,System shall provide the ability to create rules and alerts to include any # of parameters/attributes that can access or be triggered off coded or structured data in the database,UUI,Unique user identification. Assign a unique name and/or number for identifying and tracking user identity.,0
CCHIT1028,The system shall provide the ability to view the medication order as written during administration.,UUI,Unique user identification. Assign a unique name and/or number for identifying and tracking user identity.,0
CCHIT0429,The system shall provide an alert to the ordering and/or an on duty physician when laboratory results are available that were pending at the time of patient discharge.,PA,Person or entity authentication. Implement procedures to verify that a person or entity seeking access to electronic protected health information is the one claimed.,0
CCHIT0975,The system shall provide the ability to require problem / diagnosis as an order component.,AL,Automatic logoff. Implement electronic procedures that terminate an electronic session after a predetermined time of inactivity.,0
CCHIT0818,The system shall provide the ability to capture the severity of a reaction.,IC,Integrity controls. Implement security measures to ensure that electronically transmitted electronic protected health information is not improperly modified without detection until disposed of.,0
CCHIT0001,"In areas where results from multiple patients are displayed, the system shall provide the ability to filter or sort results by patient.",IC,Integrity controls. Implement security measures to ensure that electronically transmitted electronic protected health information is not improperly modified without detection until disposed of.,0
CCHIT0497,The system shall provide the ability to organize and display team and individual member assignments.,EAP,Emergency access procedure. Establish (and implement as needed) procedures for obtaining necessary electronic protected health information during an emergency.,0
CCHIT0334,"The system shall be able to express age in hours and minutes for the first 4 days of life, in days for the first 28 days, in weeks for the first three months of life, and in months until age 2. Year expressions of age should permit a decimal place for expressing part of years (i.e. 2.5 years old).",IC,Integrity controls. Implement security measures to ensure that electronically transmitted electronic protected health information is not improperly modified without detection until disposed of.,0
CCHIT0525,The system shall support case-insensitive usernames that contain typeable alpha-numeric characters in support of ISO-646/ECMA-6 (aka US ASCII).,EAP,Emergency access procedure. Establish (and implement as needed) procedures for obtaining necessary electronic protected health information during an emergency.,0
CCHIT0834,The system shall provide the ability to check for medication contraindications based on patient age and alert the user during prescribing/ordering.,SED,Encryption. Implement a mechanism to encrypt electronic protected health information whenever deemed appropriate.,0
CCHIT0245,The system shall provide the ability to remove a task without completing the task.,EAP,Emergency access procedure. Establish (and implement as needed) procedures for obtaining necessary electronic protected health information during an emergency.,0
CCHIT0109,The system shall provide the ability to display alerts based on established guidelines.,AL,Automatic logoff. Implement electronic procedures that terminate an electronic session after a predetermined time of inactivity.,0
CCHIT0032,"The system shall provide access to patient instructions and patient educational materials, which may reside within the system or be provided through links to external sources.",TS,Transmission security. Implement technical security measures to guard against unauthorized access to electronic protected health information that is being transmitted over an electronic communications network.,0
CCHIT0068,"The system shall provide the ability to capture and display temperature, weight and height in both metric and English units",PA,Person or entity authentication. Implement procedures to verify that a person or entity seeking access to electronic protected health information is the one claimed.,0
CCHIT0899,The system shall provide the ability to enter conditional orders that can be activated when certain criteria and conditions are met. .,IC,Integrity controls. Implement security measures to ensure that electronically transmitted electronic protected health information is not improperly modified without detection until disposed of.,0
CCHIT0278,The system shall provide the ability to set the severity level at which drug interaction warnings should be displayed.,TED,Encryption and decryption. Implement a mechanism to encrypt and decrypt electronic protected health information.,0
CCHIT0226,The system shall provide the ability to receive medication fulfillment history from a pharmacy,TS,Transmission security. Implement technical security measures to guard against unauthorized access to electronic protected health information that is being transmitted over an electronic communications network.,0
CCHIT0073,"The system shall provide the ability to capture common content for prescription details including strength, sig, quantity, and refills to be selected by the ordering clinician.",PA,Person or entity authentication. Implement procedures to verify that a person or entity seeking access to electronic protected health information is the one claimed.,0
CCHIT0463,The system shall provide the ability to display the patients that have been admitted to the hospital but still remain in the Emergency Department.,AL,Automatic logoff. Implement electronic procedures that terminate an electronic session after a predetermined time of inactivity.,0
CCHIT0898,The system shall provide the ability to enter all order details for medication orders that include dosing adjustments and limits.,AUD,"Audit Controls. Implement hardware, software, and/or procedural mechanisms that record and examine activity in information systems that contain or use electronic protected health information.",0
CCHIT0910,"The system shall provide the ability to generate and format a valid HITSP C32 document containing subsets for the Registration module with C32 declared templates and full Level 3 structured entries (discrete fields, not just narrative text) per HITSP C32 standards",AUD,"Audit Controls. Implement hardware, software, and/or procedural mechanisms that record and examine activity in information systems that contain or use electronic protected health information.",0
CCHIT0742,The system shall provide for the indication of patient who is now or has been involved in a clinical trial.,TED,Encryption and decryption. Implement a mechanism to encrypt and decrypt electronic protected health information.,0
CCHIT0527,The system shall support institution specific formularies.,TED,Encryption and decryption. Implement a mechanism to encrypt and decrypt electronic protected health information.,0
CCHIT0435,The system shall provide only limited feedback information to the user during the authentication.,UUI,Unique user identification. Assign a unique name and/or number for identifying and tracking user identity.,0
CCHIT0716,"The system shall have the ability to report on alerts or notifications and provider response occurring during the medication ordering process (place, modify, cancel)",TS,Transmission security. Implement technical security measures to guard against unauthorized access to electronic protected health information that is being transmitted over an electronic communications network.,0
CCHIT0598,"The HIE SHALL have the ability to perform the roles of Form Manager, Form Receiver and Form Archiver as documented in HITSP Transaction Package 50 Retrieve Form For Data Capture.",TED,Encryption and decryption. Implement a mechanism to encrypt and decrypt electronic protected health information.,0
CCHIT0381,The system shall capture the admitting inpatient practitioner name and specialty.,IC,Integrity controls. Implement security measures to ensure that electronically transmitted electronic protected health information is not improperly modified without detection until disposed of.,0
CCHIT0782,"The system shall provide the ability to access demographic information such as name, date of birth and gender needed for patient care functions.",EAP,Emergency access procedure. Establish (and implement as needed) procedures for obtaining necessary electronic protected health information during an emergency.,0
CCHIT1031,The system shall provide the ability to view the rationale for a drug interaction alert.,IC,Integrity controls. Implement security measures to ensure that electronically transmitted electronic protected health information is not improperly modified without detection until disposed of.,0
